Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUL-491MRV	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-390NVR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03284P	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4902VY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491QDS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-331JRM	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-43202G	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DNT	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-87XTR1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-410JKM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z8G	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-430XWV	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-4121PR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZH8	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5X	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-OS1PS2	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-373F6Y	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MRM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MR4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-511KMX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-3928RG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUD-460N6N	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-JTYWVF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A04087	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z88	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-422G44	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-IN0LZ5	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490WFY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W68	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DWM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03286T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-410JKR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022FD8	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-8BVTR1	System	AREA52	XLW	No	Approved	Yes	No				
TYNMXSEFWK3FM03	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-714HFX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DTF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z64	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MT2	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-JBVPWN	System	AREA52	XLW	No	Approved	Yes	No				
TYNMDGSGWK17803	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A04029	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03285K	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03283Y	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-FMYWW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-360X8C	System	AREA52	XLW	No	Approved	Yes	No				
